ID,Title,Company,Location,Condition,Job Date,Badge,Apply URL
48998434,2024년 AI 혁신 우수인재 채용 [AI/Cloud 분야],(주)케이티,서울 서초구,경력 대졸↑ 정규직,~ 09/22(일),고객상담·TM 조회 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48998434
48103965,엔씨소프트 전 부문 수시 채용,(주)엔씨소프트,경기 성남시 분당구,신입·경력 학력무관 정규직,~ 04/29(화),마케팅·홍보·조사 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48103965
48963417,데이터 분석 어시스턴트,씨벤티지(주),서울 강남구,신입·경력 대졸↑ 정규직,~ 10/31(목),시리즈A 투자유치,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48963417
48744451,㈜파이버프로 2024년도 부문별 채용공고,(주)파이버프로,대전 유성구,신입·경력 대졸↑ 정규직,내일마감,영업·판매·무역 지원 급상승,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48744451
48843190,(주)덱스터스튜디오 VP본부 채용,(주)덱스터스튜디오,서울 마포구,경력무관 학력무관 정규직,~ 10/19(토),시리즈C 투자유치,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48843190
49013525,2024년 하반기 각 부문 수시채용,한국요꼬가와일렉트로닉스매뉴팩처링(주),인천 부평구,신입·경력 초대졸↑ 정규직,~ 09/29(일),연구·R&D 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=49013525
48932801,각 분야 신입/경력 채용 (경영지원/PM/R&D/설계/PLC/영업 등),(주)윤성에프앤씨,경기전체,신입·경력 대졸↑ 정규직,~ 09/30(월),서비스 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48932801
48929423,[SK쉴더스 사이버보안AI랩스] 신사업 분야 경력직 채용,에스케이쉴더스(주),경기 성남시 분당구,경력3년↑ 학력무관 정규직,내일마감,기획·전략 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48929423
48971584,Software Engineer 신입/경력(2년 미만) 채용,어플라이드머티어리얼즈코리아(주),경기 성남시 분당구,신입·경력 대졸↑ 정규직,~ 10/06(일),IT개발·데이터 지원 급상승,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48971584
48864776,[코스닥기업] 2024년 신입사원 채용,(주)비아이매트릭스,서울 강남구,신입 대졸↑ 정규직,~ 09/20(금),인기있는,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48864776
